SAMPN,PERNO,PLANO,ACTNO,APURP,Act_Cat,LAT,LON,MODE,PNAME,place_type
122636,1,1,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.09469068,-118.3127323,,,Other
124640,1,7,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.18923312,-118.3084672,Auto/van/truck driver,,Other
125160,1,4,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.03520565,-118.4674995,Auto/van/truck driver,,Other
125232,1,4,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.42242995,-117.6193488,Auto/van/truck driver,,Other
125232,1,6,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.42242995,-117.6193488,Walk,,Other
127630,1,1,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.71514138,-118.0652909,,,Other
133483,3,1,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.04831177,-117.7792454,,,Other
133483,4,1,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.04831177,-117.7792454,,,Other
133483,5,1,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.04831177,-117.7792454,,,Other
133483,5,4,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.04831177,-117.7792454,Auto/van/truck driver,,Other
133751,1,1,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.94106015,-118.1019397,,,Other
135470,3,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.03432573,-117.7393207,,,Other
136102,1,1,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.65592959,-117.6840774,,,Other
